time,"price",return,pecentage return
2013-06-21,"2,317.39",-0.001757507,-0.18%
2013-06-24,"2,171.21",-0.063079585,-6.31%
2013-06-25,"2,165.42",-0.002666716,-0.27%
2013-06-26,"2,168.30",0.001329996,0.13%
2013-06-27,"2,160.74",-0.003486602,-0.35%
2013-06-28,"2,200.64",0.018465896,1.85%
2013-07-01,"2,213.32",0.00576196,0.58%
2013-07-02,"2,221.98",0.003912674,0.39%
2013-07-03,"2,203.83",-0.00816839,-0.82%
2013-07-04,"2,221.98",0.008235662,0.82%
2013-07-05,"2,226.85",0.002191739,0.22%
2013-07-08,"2,163.62",-0.028394369,-2.84%
2013-07-09,"2,162.67",-0.000439079,-0.04%
2013-07-10,"2,224.07",0.028390832,2.84%
2013-07-11,"2,326.69",0.046140634,4.61%
2013-07-12,"2,275.37",-0.022057085,-2.21%
2013-07-15,"2,307.30",0.014032883,1.40%
2013-07-16,"2,317.85",0.004572444,0.46%
2013-07-17,"2,282.84",-0.015104515,-1.51%
2013-07-18,"2,245.33",-0.016431287,-1.64%
2013-07-19,"2,190.48",-0.02442848,-2.44%
2013-07-22,"2,202.19",0.00534586,0.53%
2013-07-23,"2,265.85",0.028907587,2.89%
2013-07-24,"2,249.15",-0.007370303,-0.74%
2013-07-25,"2,237.68",-0.005099704,-0.51%
2013-07-26,"2,224.01",-0.006109006,-0.61%
2013-07-29,"2,175.97",-0.021600622,-2.16%
2013-07-30,"2,189.39",0.006167364,0.62%
2013-07-31,"2,193.02",0.001657996,0.17%
2013-08-01,"2,245.36",0.023866631,2.39%
2013-08-02,"2,247.26",0.000846189,0.08%
2013-08-05,"2,278.33",0.013825726,1.38%
2013-08-06,"2,293.64",0.006719834,0.67%
2013-08-07,"2,280.62",-0.005676567,-0.57%
2013-08-08,"2,276.78",-0.001683753,-0.17%
2013-08-09,"2,286.01",0.004053971,0.41%
2013-08-12,"2,352.79",0.029212471,2.92%
2013-08-13,"2,359.07",0.002669171,0.27%
2013-08-14,"2,349.08",-0.00423472,-0.42%
2013-08-15,"2,321.58",-0.011706711,-1.17%
2013-08-16,"2,304.14",-0.007512125,-0.75%
2013-08-19,"2,331.43",0.011843898,1.18%
2013-08-20,"2,312.47",-0.008132348,-0.81%
2013-08-21,"2,308.59",-0.00167786,-0.17%
2013-08-22,"2,303.93",-0.002018548,-0.20%
2013-08-23,"2,286.93",-0.007378696,-0.74%
2013-08-26,"2,335.62",0.021290551,2.13%
2013-08-27,"2,340.88",0.002252079,0.23%
2013-08-28,"2,328.06",-0.005476573,-0.55%
2013-08-29,"2,318.31",-0.004188036,-0.42%
2013-08-30,"2,313.91",-0.001897934,-0.19%
2013-09-02,"2,320.34",0.002778846,0.28%
2013-09-03,"2,354.50",0.01472198,1.47%
2013-09-04,"2,350.70",-0.001613931,-0.16%
2013-09-05,"2,341.74",-0.003811631,-0.38%
2013-09-06,"2,357.78",0.006849608,0.68%
2013-09-09,"2,440.61",0.035130504,3.51%
2013-09-10,"2,474.89",0.014045669,1.40%
2013-09-11,"2,482.89",0.003232467,0.32%
2013-09-12,"2,507.46",0.009895726,0.99%
2013-09-13,"2,488.90",-0.007401913,-0.74%
2013-09-16,"2,478.39",-0.004222749,-0.42%
2013-09-17,"2,427.32",-0.020606119,-2.06%
2013-09-18,"2,432.51",0.002138161,0.21%
2013-09-23,"2,472.29",0.016353479,1.64%
2013-09-24,"2,443.89",-0.011487326,-1.15%
2013-09-25,"2,429.03",-0.00608047,-0.61%
2013-09-26,"2,384.44",-0.018357122,-1.84%
2013-09-27,"2,394.97",0.004416131,0.44%
2013-09-30,"2,409.04",0.005874813,0.59%
2013-10-08,"2,441.81",0.013602929,1.36%
2013-10-09,"2,453.58",0.004820195,0.48%
2013-10-10,"2,429.32",-0.009887593,-0.99%
2013-10-11,"2,468.51",0.016132086,1.61%
2013-10-14,"2,472.54",0.001632564,0.16%
2013-10-15,"2,467.52",-0.002030301,-0.20%
2013-10-16,"2,421.37",-0.018702989,-1.87%
2013-10-17,"2,413.33",-0.003320434,-0.33%
2013-10-18,"2,426.05",0.005270726,0.53%
2013-10-21,"2,471.32",0.018659962,1.87%
2013-10-22,"2,445.89",-0.010290047,-1.03%
2013-10-23,"2,418.49",-0.011202466,-1.12%
2013-10-24,"2,400.51",-0.007434391,-0.74%
2013-10-25,"2,368.56",-0.013309672,-1.33%
2013-10-28,"2,365.95",-0.001101935,-0.11%
2013-10-29,"2,372.05",0.002578246,0.26%
2013-10-30,"2,407.47",0.014932232,1.49%
2013-10-31,"2,373.72",-0.014018866,-1.40%
2013-11-01,"2,384.96",0.004735184,0.47%
2013-11-04,"2,380.45",-0.001891017,-0.19%
2013-11-05,"2,383.77",0.001394694,0.14%
2013-11-06,"2,353.57",-0.012669007,-1.27%
2013-11-07,"2,340.55",-0.005532022,-0.55%
2013-11-08,"2,307.95",-0.01392835,-1.39%
2013-11-11,"2,315.89",0.003440283,0.34%
2013-11-12,"2,340.00",0.010410684,1.04%
2013-11-13,"2,288.12",-0.02217094,-2.22%
2013-11-14,"2,304.50",0.007158715,0.72%
2013-11-15,"2,350.73",0.020060751,2.01%
2013-11-18,"2,428.90",0.0332535,3.33%
2013-11-19,"2,412.16",-0.006892009,-0.69%
2013-11-20,"2,424.85",0.005260845,0.53%
2013-11-21,"2,409.99",-0.006128214,-0.61%
2013-11-22,"2,397.96",-0.004991722,-0.50%
2013-11-25,"2,388.63",-0.003890807,-0.39%
2013-11-26,"2,387.42",-0.000506567,-0.05%
2013-11-27,"2,414.48",0.011334411,1.13%
2013-11-28,"2,439.53",0.010374905,1.04%
2013-11-29,"2,438.94",-0.00024185,-0.02%
2013-12-02,"2,418.79",-0.008261786,-0.83%
2013-12-03,"2,442.78",0.009918182,0.99%
2013-12-04,"2,475.14",0.013247202,1.32%
2013-12-05,"2,468.20",-0.002803882,-0.28%
2013-12-06,"2,452.29",-0.006445993,-0.64%
2013-12-09,"2,450.87",-0.000579051,-0.06%
2013-12-10,"2,453.32",0.000999645,0.10%
2013-12-11,"2,412.76",-0.016532699,-1.65%
2013-12-12,"2,410.02",-0.001135629,-0.11%
2013-12-13,"2,406.64",-0.001402478,-0.14%
2013-12-16,"2,367.92",-0.016088821,-1.61%
2013-12-17,"2,356.38",-0.004873475,-0.49%
2013-12-18,"2,357.23",0.000360723,0.04%
2013-12-19,"2,332.41",-0.010529308,-1.05%
2013-12-20,"2,278.14",-0.023267779,-2.33%
2013-12-23,"2,284.60",0.002835647,0.28%
2013-12-24,"2,288.25",0.001597654,0.16%
2013-12-25,"2,305.11",0.007368076,0.74%
2013-12-26,"2,265.33",-0.017257311,-1.73%
2013-12-27,"2,303.48",0.016840813,1.68%
2013-12-30,"2,299.46",-0.001745186,-0.17%
2013-12-31,"2,330.03",0.013294426,1.33%
2014-01-02,"2,321.98",-0.003454891,-0.35%
2014-01-03,"2,290.78",-0.013436808,-1.34%
2014-01-06,"2,238.64",-0.022760806,-2.28%
2014-01-07,"2,238.00",-0.000285888,-0.03%
2014-01-08,"2,241.91",0.001747096,0.17%
2014-01-09,"2,222.22",-0.00878269,-0.88%
2014-01-10,"2,204.85",-0.007816508,-0.78%
2014-01-13,"2,193.68",-0.005066104,-0.51%
2014-01-14,"2,212.85",0.00873874,0.87%
2014-01-15,"2,208.94",-0.001766952,-0.18%
2014-01-16,"2,211.84",0.001312847,0.13%
2014-01-17,"2,178.49",-0.015077944,-1.51%
2014-01-20,"2,165.99",-0.005737919,-0.57%
2014-01-21,"2,187.41",0.009889242,0.99%
2014-01-22,"2,243.80",0.025779346,2.58%
2014-01-23,"2,231.89",-0.00530796,-0.53%
2014-01-24,"2,245.68",0.00617862,0.62%
